qid,leader,ccode,iso3,country,start_year,end_year,term_limits_absent,president_for_life,family_in_govt,political_killings,military_executive,judicial_purges,const_disregard,no_leg_constraint,places_named,grandiose_titles,monuments,birthday_holiday,hagiography,cult_of_personality,currency_portrait,oath_to_person
Q11613,Truman,2,USA,United States,1945,1953,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Q9916,Eisenhower,2,USA,United States,1953,1961,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
Q9696,Kennedy,2,USA,United States,1961,1963,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0
Q9640,Johnson,2,USA,United States,1963,1969,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0
Q9588,Nixon,2,USA,United States,1969,1974,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
Q9582,Ford,2,USA,United States,1974,1977,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
Q9960,Reagan,2,USA,United States,1981,1989,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Q23505,G.H.W. Bush,2,USA,United States,1989,1993,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Q1124,Clinton,2,USA,United States,1993,2001,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Q207,G.W. Bush,2,USA,United States,2001,2009,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Q128626,St. Laurent,20,CAN,Canada,1948,1957,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Q128614,Diefenbaker,20,CAN,Canada,1957,1963,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Q128604,Pearson,20,CAN,Canada,1963,1968,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Q8619,Pierre Trudeau,20,CAN,Canada,1968,1979,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
Q128574,Clark,20,CAN,Canada,1979,1980,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q8619,Pierre Trudeau,20,CAN,Canada,1980,1984,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
Q128568,Turner,20,CAN,Canada,1984,1984,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q128563,Mulroney,20,CAN,Canada,1984,1993,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q128553,Kim Campbell,20,CAN,Canada,1993,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q3099714,Justin Trudeau,20,CAN,Canada,2015,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Q317664,Ingraham,31,BHS,Bahamas,1992,2002,0,0,0,,,,,,0,0,0,0,0,0,0,0
Q11270,Batista,40,CUB,Cuba,1952,1959,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
Q707178,Magloire,41,HTI,Haiti,1950,1956,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Q888818,Fignole,41,HTI,Haiti,1957,1957,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Q605467,Kebreau,41,HTI,Haiti,1957,1957,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Q470500,Namphy,41,HTI,Haiti,1986,1988,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Q470492,Manigat,41,HTI,Haiti,1988,1988,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Q470500,Namphy,41,HTI,Haiti,1988,1988,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Q382423,Cedras,41,HTI,Haiti,1991,1994,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Q323218,Boniface Alexandre,41,HTI,Haiti,2004,2006,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Q57512,Martelly,41,HTI,Haiti,2011,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Q887593,Filiberto Bonnelly,42,DOM,Dominican Republic,1962,1963,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Q3187589,Bosch,42,DOM,Dominican Republic,1963,1963,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Q436484,Molina Urena,42,DOM,Dominican Republic,1965,1965,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Q5972763,Majluta Azar,42,DOM,Dominican Republic,1982,1982,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Q562002,Blanco,42,DOM,Dominican Republic,1982,1986,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Q151944,Fernandez Reyna,42,DOM,Dominican Republic,1996,2000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Q151944,Fernandez Reyna,42,DOM,Dominican Republic,2004,2012,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Q1240351,Sangster,51,JAM,Jamaica,1967,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q982324,Shearer,51,JAM,Jamaica,1967,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q365395,Manley,51,JAM,Jamaica,1972,1980,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q365395,Manley,51,JAM,Jamaica,1989,1992,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1338879,Williams,52,TTO,Trinidad and Tobago,1962,1981,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q634551,Robinson,52,TTO,Trinidad and Tobago,1986,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q365206,Manning,52,TTO,Trinidad and Tobago,1991,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q1361644,Barrow,53,BRB,Barbados,1966,1976,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q1371769,St. John,53,BRB,Barbados,1985,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1361644,Barrow,53,BRB,Barbados,1986,1987,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q114622,Sandiford,53,BRB,Barbados,1987,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q327920,Ruiz Cortines,70,MEX,Mexico,1952,1958,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Q296691,de La Madrid,70,MEX,Mexico,1982,1988,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Q315633,Salinas,70,MEX,Mexico,1988,1994,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Q298149,Zedillo,70,MEX,Mexico,1994,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Q190572,Vicente Fox Quesada,70,MEX,Mexico,2000,2006,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
