qid,leader,ccode,iso3,country,start_year,end_year,theta,theta_se
Q8620,Nkrumah,452,GHA,Ghana,1952,1966,2.569220762243573,0.5343602765962174
Q1109,Kim Il-sung,731,PRK,North Korea,1948,1994,2.482805932367749,0.5593382983535741
Q173563,Kenyatta,501,KEN,Kenya,1963,1978,2.40622555511187,0.5059779062821432
Q5765,Kim Jong-il,731,PRK,North Korea,1994,2011,2.2959508541442313,0.5261979409886157
Q1316,Saddam Hussein,645,IRQ,Iraq,1979,2003,2.2522949099919645,0.48044636023234516
Q82918,Niyazov,701,TKM,Turkmenistan,1990,2006,2.2448472347375126,0.47926353231681185
Q186525,Nyerere,510,TZA,Tanzania,1961,1985,2.2312083272487837,0.4818074523561685
Q184945,Banda,553,MWI,Malawi,1964,1994,2.1260447728647813,0.4613022115920566
Q5816,Mao Tse-Tung,710,CHN,China,1949,1976,2.1122105167363627,0.4593374869253609
Q203633,Ceausescu,360,ROU,Romania,1967,1989,2.1040105456136535,0.4911240567543485
Q36014,Ho Chi Minh,816,VNM,Vietnam,1945,1969,2.090879990297345,0.4601537678430599
Q643348,Ben Ali Bourguiba,616,TUN,Tunisia,1957,1987,1.9740661684470873,0.4415183715181983
Q29179,Franco,230,ESP,Spain,1946,1975,1.9566041394037745,0.4731083275243225
Q4534,Stalin,365,RUS,Russia,1946,1953,1.9566041394037745,0.4731083275243225
Q58422,Hoxha,339,ALB,Albania,1946,1985,1.9566041394037745,0.4731083275243225
Q38823,Ayatollah Khomeini,630,IRN,Iran,1979,1989,1.943855639363808,0.4381120185132826
Q7747,Putin,365,RUS,Russia,2000,2015,1.943855639363808,0.4381120185132826
Q9161,Tito,345,SRB,Yugoslavia/Serbia,1945,1980,1.9349123743325818,0.43714085687920673
Q191375,Sheikh Mujib Rahman,771,BGD,Bangladesh,1972,1975,1.8613603996442643,0.4298331483780689
Q9640,Johnson,2,USA,United States,1963,1969,1.8075891329326486,0.4252998422626249
Q202155,Sankara,439,BFA,Burkina Faso,1983,1987,1.7859617375729568,0.4236790876502951
Q16220,Francois Duvalier,41,HTI,Haiti,1957,1971,1.7726098668099899,0.45755900894646245
Q57583,Hafez al-Assad,652,SYR,Syria,1971,2000,1.7726098668099899,0.45755900894646245
Q164535,Mobutu,490,COD,Congo-Kinshasa,1965,1997,1.7594779105007352,0.42185720606629845
Q57394,Nazarbayev,705,KAZ,Kazakhstan,1990,2015,1.7505270246439208,0.42128254102622664
Q10707,Mugabe,552,ZWE,Zimbabwe,1980,2015,1.7476727647050565,0.42110369355410326
Q1047,Nehru,750,IND,India,1947,1964,1.6950452105676672,0.4181922646265782
Q8016,Churchill,200,GBR,United Kingdom,1951,1955,1.6950452105676672,0.4181922646265782
Q8023,Mandela,560,ZAF,South Africa,1994,1999,1.6950452105676672,0.4181922646265782
Q9696,Kennedy,2,USA,United States,1961,1963,1.6950452105676672,0.4181922646265782
Q56226,Kim Jong Un,731,PRK,North Korea,2011,2015,1.68366625919608,0.41982956243111524
Q1149,"Gandhi, I.",750,IND,India,1966,1977,1.6709348807994153,0.4171064105009358
Q19878,Qaddafi,620,LBY,Libya,1969,2011,1.6709348807994153,0.4171064105009358
Q192927,Trujillo,42,DOM,Dominican Republic,1946,1961,1.6414207371376826,0.45210232597209904
Q4076,Brezhnev,365,RUS,Russia,1964,1982,1.6414207371376826,0.45210232597209904
Q155074,Georgi Dimitrov,355,BGR,Bulgaria,1946,1949,1.639349068524526,0.4159230685512574
Q2628,Ulbricht,265,DEU,Germany,1950,1971,1.639349068524526,0.4159230685512574
Q76127,Sukarno,850,IDN,Indonesia,1949,1966,1.6077056100739162,0.4150118331669688
Q37040,Salazar,235,PRT,Portugal,1946,1968,1.6009042950268833,0.451438994670091
Q2042,De Gaulle,220,FRA,France,1958,1969,1.5850529752433717,0.4145290425271297
Q9916,Eisenhower,2,USA,United States,1953,1961,1.5850529752433717,0.4145290425271297
Q214438,Menzies,900,AUS,Australia,1949,1966,1.5502336361699691,0.4140636198914898
Q9588,Nixon,2,USA,United States,1969,1974,1.5502336361699691,0.4140636198914898
Q146906,Hussein Ibn Talal El-Hashim,663,JOR,Jordan,1952,1999,1.5474753359916602,0.4140410910521304
Q69103,Hassan II,600,MAR,Morocco,1961,1999,1.5474753359916602,0.4140410910521304
Q30487,Gorbachev,365,RUS,Russia,1985,1991,1.5265426290855029,0.4139387055086681
Q28517,Zhivkov,355,BGR,Bulgaria,1956,1989,1.5070557000693034,0.4139522098674211
