obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,gender,yrborn,yrdied,dbpedia_clean,fties,ftcur,start_year,end_year
USA-1945,81dd53f4-1e42-11e4-b4cd-db5882bf8def,2,USA,Truman,1945-04-12,1953-01-20,Regular,Regular,Regular,M,1884,1972,http://dbpedia.org/resource/Harry_S._Truman,NA,NA,1945,1953
USA-1953,81dd53f5-1e42-11e4-b4cd-db5882bf8def,2,USA,Eisenhower,1953-01-20,1961-01-20,Regular,Regular,Regular,M,1890,1969,http://dbpedia.org/resource/Dwight_D._Eisenhower,NA,NA,1953,1961
USA-1961,81dd53f6-1e42-11e4-b4cd-db5882bf8def,2,USA,Kennedy,1961-01-20,1963-11-22,Regular,Irregular,Assassination by Unsupported Individual,M,1917,1963,http://dbpedia.org/resource/John_F._Kennedy,NA,NA,1961,1963
USA-1963,81dd84c6-1e42-11e4-b4cd-db5882bf8def,2,USA,Johnson,1963-11-22,1969-01-20,Regular,Regular,Regular,M,1908,1973,http://dbpedia.org/resource/Lyndon_B._Johnson,NA,NA,1963,1969
USA-1969,81dd84c7-1e42-11e4-b4cd-db5882bf8def,2,USA,Nixon,1969-01-20,1974-08-09,Regular,Regular,Regular,M,1913,1994,http://dbpedia.org/resource/Richard_Nixon,NA,NA,1969,1974
USA-1974,81dd84c8-1e42-11e4-b4cd-db5882bf8def,2,USA,Ford,1974-08-09,1977-01-20,Regular,Regular,Regular,M,1913,2006,http://dbpedia.org/resource/Gerald_Ford,NA,NA,1974,1977
USA-1977,81dd84c9-1e42-11e4-b4cd-db5882bf8def,2,USA,Carter,1977-01-20,1981-01-20,Regular,Regular,Regular,M,1924,-777,,NA,NA,1977,1981
USA-1981,81dd84ca-1e42-11e4-b4cd-db5882bf8def,2,USA,Reagan,1981-01-20,1989-01-20,Regular,Regular,Regular,M,1911,2004,http://dbpedia.org/resource/Ronald_Reagan,NA,NA,1981,1989
USA-1989,81ddb59a-1e42-11e4-b4cd-db5882bf8def,2,USA,G.H.W. Bush,1989-01-20,1993-01-20,Regular,Regular,Regular,M,1924,-777,,Father of G.W. Bush%81ddb59c-1e42-11e4-b4cd-db5882bf8def,0,1989,1993
USA-1993,81ddb59b-1e42-11e4-b4cd-db5882bf8def,2,USA,Clinton,1993-01-20,2001-01-20,Regular,Regular,Regular,M,1946,-777,http://dbpedia.org/resource/Bill_Clinton,NA,NA,1993,2001
