qid,leader,ccode,start_year,end_year,currency_portrait
Q11613,Truman,2,1945,1953,0
Q9916,Eisenhower,2,1953,1961,0
Q9696,Kennedy,2,1961,1963,0
Q9640,Johnson,2,1963,1969,0
Q9588,Nixon,2,1969,1974,0
Q9582,Ford,2,1974,1977,0
Q9960,Reagan,2,1981,1989,0
Q23505,G.H.W. Bush,2,1989,1993,0
Q1124,Clinton,2,1993,2001,0
Q207,G.W. Bush,2,2001,2009,0
Q128626,St. Laurent,20,1948,1957,0
Q128614,Diefenbaker,20,1957,1963,1
Q128604,Pearson,20,1963,1968,0
Q8619,Pierre Trudeau,20,1968,1979,1
Q128574,Clark,20,1979,1980,0
Q8619,Pierre Trudeau,20,1980,1984,1
Q128568,Turner,20,1984,1984,0
Q128563,Mulroney,20,1984,1993,0
Q128553,Kim Campbell,20,1993,1993,0
Q3099714,Justin Trudeau,20,2015,2015,1
Q317664,Ingraham,31,1992,2002,0
Q11270,Batista,40,1952,1959,1
Q707178,Magloire,41,1950,1956,1
Q888818,Fignole,41,1957,1957,0
Q605467,Kebreau,41,1957,1957,0
Q470500,Namphy,41,1986,1988,0
Q470492,Manigat,41,1988,1988,0
Q470500,Namphy,41,1988,1988,0
Q382423,Cedras,41,1991,1994,0
Q323218,Boniface Alexandre,41,2004,2006,1
Q57512,Martelly,41,2011,2014,1
Q887593,Filiberto Bonnelly,42,1962,1963,0
Q3187589,Bosch,42,1963,1963,0
Q436484,Molina Urena,42,1965,1965,0
Q5972763,Majluta Azar,42,1982,1982,0
Q562002,Blanco,42,1982,1986,0
Q151944,Fernandez Reyna,42,1996,2000,0
Q151944,Fernandez Reyna,42,2004,2012,0
Q1240351,Sangster,51,1967,1967,1
Q982324,Shearer,51,1967,1972,1
Q365395,Manley,51,1972,1980,1
Q365395,Manley,51,1989,1992,1
Q1338879,Williams,52,1962,1981,0
Q634551,Robinson,52,1986,1991,1
Q365206,Manning,52,1991,1995,1
Q1361644,Barrow,53,1966,1976,0
Q1371769,St. John,53,1985,1986,0
Q1361644,Barrow,53,1986,1987,0
Q114622,Sandiford,53,1987,1994,0
Q327920,Ruiz Cortines,70,1952,1958,0
Q296691,de La Madrid,70,1982,1988,1
Q315633,Salinas,70,1988,1994,1
Q298149,Zedillo,70,1994,2000,1
Q190572,Vicente Fox Quesada,70,2000,2006,0
Q296741,Enrique Pena Nieto,70,2012,2015,0
Q542559,Price,80,1961,1984,0
Q951969,Esquivel,80,1984,1989,0
Q542559,Price,80,1989,1993,0
Q951969,Esquivel,80,1993,1998,0
Q335215,Musa,80,1998,2008,0
Q216943,Arbenz Guzman,90,1951,1954,0
Q468224,Castillo Armas,90,1954,1957,0
Q881015,Gonzalez Lopez,90,1957,1957,0
Q293391,Mendoza Azurdia,90,1957,1957,0
Q879116,Peralta Azurdia,90,1963,1966,0
Q879311,Mendez Montenegro,90,1966,1970,0
Q887685,Arana Osorio,90,1970,1974,0
Q887011,Laugerud Garcia,90,1974,1978,0
Q293385,Mejia Victores,90,1983,1986,0
Q887617,Cerezo,90,1986,1991,0
