qid,leader,ccode,iso3,country,start_year,end_year,theta,theta_se,theta_inst,theta_cult,gwf_regimetype,gwf_personal,gwf_years_matched
Q8620,Nkrumah,452,GHA,Ghana,1952,1966,2.4032827328201316,0.5305262172458614,0.7988315975482368,0.7014926720772383,party-personal,1.0,6
Q1109,Kim Il-sung,731,PRK,North Korea,1948,1994,2.3081165836315134,0.5918346560744914,-6.109602060247135e-17,0.6895001989726728,party-personal,1.0,46
Q184945,Banda,553,MWI,Malawi,1964,1994,2.1416759534662653,0.4997127798112981,0.92172377061383,0.4323553858915699,personal,1.0,30
Q173563,Kenyatta,501,KEN,Kenya,1963,1978,2.1353862793593237,0.5341039214240183,-0.5074636972550166,0.8024709793937295,party-based,0.0,15
Q5765,Kim Jong-il,731,PRK,North Korea,1994,2011,2.0340588935213972,0.5747918859605395,-8.813835443414952e-17,0.7910733533369683,party-personal,1.0,17
Q160318,Sihanouk,811,KHM,Cambodia,1953,1970,2.0217956133432304,0.480541634466031,1.3458678424310355,-1.1042842082982591,monarchy,0.0,17
Q186525,Nyerere,510,TZA,Tanzania,1961,1985,1.902300051810054,0.5409804879904858,0.0878883008661669,0.9388621617655656,party-based,0.0,21
Q191375,Sheikh Mujib Rahman,771,BGD,Bangladesh,1972,1975,1.850719506397737,0.5096122737843348,-0.3636709609188742,0.4902191470161535,party-personal,1.0,4
Q643348,Ben Ali Bourguiba,616,TUN,Tunisia,1957,1987,1.7309264792806427,0.4900252525866742,1.1073443542993489,0.5849266328268495,party-based,0.0,31
Q146906,Hussein Ibn Talal El-Hashim,663,JOR,Jordan,1952,1999,1.708803419299519,0.495175383624244,-0.4238499672153837,-0.5307492988577406,monarchy,0.0,48
Q69103,Hassan II,600,MAR,Morocco,1961,1999,1.708803419299519,0.495175383624244,-0.4238499672153837,-0.5307492988577406,monarchy,0.0,39
Q10707,Mugabe,552,ZWE,Zimbabwe,1980,2015,1.6944055063266228,0.505400846794231,-0.4219482077177592,0.3768346696139077,party-based,0.0,30
Q1316,Saddam Hussein,645,IRQ,Iraq,1979,2003,1.6757727858276463,0.5380145181646808,-0.4205441567032254,1.220894200237459,personal,1.0,25
Q82918,Niyazov,701,TKM,Turkmenistan,1990,2006,1.6726692017065143,0.5155837163448269,1.4777226276444129,1.2198797875652314,party-personal,1.0,15
Q76127,Sukarno,850,IDN,Indonesia,1949,1966,1.6657767893857771,0.4860649347595531,1.1389446995931531,0.4654386028876181,personal,1.0,17
Q9161,Tito,345,SRB,Yugoslavia/Serbia,1945,1980,1.6520591856187226,0.4924699138624919,1.156255916286172,0.6709585887413131,party-based,0.0,35
