leader,ccode,start_year,end_year,idacr,qid,source,wiki_title
Truman,2,1945,1953,USA,Q11613,direct,Harry S. Truman
Eisenhower,2,1953,1961,USA,Q9916,direct,Dwight D. Eisenhower
Kennedy,2,1961,1963,USA,Q9696,direct,John F. Kennedy
Johnson,2,1963,1969,USA,Q9640,direct,Lyndon B. Johnson
Nixon,2,1969,1974,USA,Q9588,direct,Richard Nixon
Ford,2,1974,1977,USA,Q9582,direct,Gerald Ford
Reagan,2,1981,1989,USA,Q9960,direct,Ronald Reagan
G.H.W. Bush,2,1989,1993,USA,Q23505,fuzzy,
Clinton,2,1993,2001,USA,Q1124,direct,Bill Clinton
G.W. Bush,2,2001,2009,USA,Q207,direct,George W. Bush
St. Laurent,20,1948,1957,CAN,Q128626,direct,Louis St. Laurent
Diefenbaker,20,1957,1963,CAN,Q128614,direct,John Diefenbaker
Pearson,20,1963,1968,CAN,Q128604,direct,Lester B. Pearson
Pierre Trudeau,20,1968,1979,CAN,Q8619,direct,Pierre Trudeau
Clark,20,1979,1980,CAN,Q128574,direct,Joe Clark
Pierre Trudeau,20,1980,1984,CAN,Q8619,direct,Pierre Trudeau
Turner,20,1984,1984,CAN,Q128568,direct,John Turner
Mulroney,20,1984,1993,CAN,Q128563,direct,Brian Mulroney
Kim Campbell,20,1993,1993,CAN,Q128553,fuzzy,
Justin Trudeau,20,2015,2015,CAN,Q3099714,fuzzy,
Ingraham,31,1992,2002,BHM,Q317664,direct,Hubert Ingraham
Batista,40,1952,1959,CUB,Q11270,direct,Fulgencio Batista
Magloire,41,1950,1956,HAI,Q707178,direct,Paul Magloire
Fignole,41,1957,1957,HAI,Q888818,fuzzy,
Kebreau,41,1957,1957,HAI,Q605467,redirect,Antonio Thrasybule Kebreau
Namphy,41,1986,1988,HAI,Q470500,direct,Henri Namphy
Manigat,41,1988,1988,HAI,Q470492,direct,Leslie Manigat
Namphy,41,1988,1988,HAI,Q470500,direct,Henri Namphy
Cedras,41,1991,1994,HAI,Q382423,fuzzy,
Boniface Alexandre,41,2004,2006,HAI,Q323218,fuzzy,
Martelly,41,2011,2014,HAI,Q57512,fuzzy,
Filiberto Bonnelly,42,1962,1963,DOM,Q887593,direct,Rafael Filiberto Bonnelly
Bosch,42,1963,1963,DOM,Q3187589,direct,Juan Bosch
Molina Urena,42,1965,1965,DOM,Q436484,fuzzy,
Majluta Azar,42,1982,1982,DOM,Q5972763,redirect,Jacobo Majluta Azar
Blanco,42,1982,1986,DOM,Q562002,direct,Salvador Jorge Blanco
Fernandez Reyna,42,1996,2000,DOM,Q151944,fuzzy,
Fernandez Reyna,42,2004,2012,DOM,Q151944,fuzzy,
Sangster,51,1967,1967,JAM,Q1240351,direct,Donald Sangster
Shearer,51,1967,1972,JAM,Q982324,direct,Hugh Shearer
Manley,51,1972,1980,JAM,Q365395,direct,Michael Manley
Manley,51,1989,1992,JAM,Q365395,direct,Michael Manley
Williams,52,1962,1981,TRI,Q1338879,direct,Eric Williams
Robinson,52,1986,1991,TRI,Q634551,direct,A. N. R. Robinson
Manning,52,1991,1995,TRI,Q365206,direct,Patrick Manning
Barrow,53,1966,1976,BAR,Q1361644,direct,Errol Barrow
St. John,53,1985,1986,BAR,Q1371769,direct,Harold Bernard St. John
Barrow,53,1986,1987,BAR,Q1361644,direct,Errol Barrow
Sandiford,53,1987,1994,BAR,Q114622,direct,Lloyd Erskine Sandiford
Ruiz Cortines,70,1952,1958,MEX,Q327920,direct,Adolfo Ruiz Cortines
de La Madrid,70,1982,1988,MEX,Q296691,direct,Miguel de la Madrid
Salinas,70,1988,1994,MEX,Q315633,direct,Carlos Salinas de Gortari
Zedillo,70,1994,2000,MEX,Q298149,direct,Ernesto Zedillo
Vicente Fox Quesada,70,2000,2006,MEX,Q190572,fuzzy,
Enrique Pena Nieto,70,2012,2015,MEX,Q296741,fuzzy,
Price,80,1961,1984,BLZ,Q542559,direct,George Cadle Price
Esquivel,80,1984,1989,BLZ,Q951969,direct,Manuel Esquivel
Price,80,1989,1993,BLZ,Q542559,direct,George Cadle Price
