qid,leader,ccode,start_year,end_year,v2clkill,v2x_ex_military,v2jupurge,v2psbars,v2csreprss,v2exrescon,v2xlg_legcon,v2x_regime,political_killings,military_executive,judicial_purges,party_barriers,civil_repression,const_disregard,no_leg_constraint,regime_type
Q11613,Truman,2,1945,1953,1.2115555555555553,0.0,2.1453333333333333,1.6420000000000001,1.1162222222222222,1.598,0.8935555555555555,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q9916,Eisenhower,2,1953,1961,1.257,0.0,2.17,1.8362222222222222,1.4020000000000001,1.598,0.897,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q9696,Kennedy,2,1961,1963,1.257,0.0,2.17,1.8920000000000001,1.757,1.598,0.8969999999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q9640,Johnson,2,1963,1969,1.430142857142857,0.0,2.0187142857142857,1.8919999999999997,2.0869999999999997,1.5980000000000003,0.8970000000000001,2.142857142857143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
Q9588,Nixon,2,1969,1974,1.9011666666666667,0.0,2.0035000000000003,1.8919999999999997,2.747833333333334,1.4813333333333334,0.9141666666666667,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
Q9582,Ford,2,1974,1977,1.928,0.0,2.182,2.15325,2.869,1.702,0.9437499999999999,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3
Q9960,Reagan,2,1981,1989,2.517,0.0,1.786111111111111,2.937,2.869,1.794,0.9202222222222223,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3
Q23505,G.H.W. Bush,2,1989,1993,2.517,0.0,2.1018,2.937,2.869,1.794,0.925,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3
Q1124,Clinton,2,1993,2001,2.5737777777777775,0.0,2.401,2.937,2.8412222222222225,1.755888888888889,0.9334444444444446,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3
Q207,G.W. Bush,2,2001,2009,3.0018888888888893,0.0,2.2106666666666666,2.937,2.6667777777777775,1.4980000000000002,0.9439999999999998,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3
Q128626,St. Laurent,20,1948,1957,2.325,0.0,1.3000000000000003,2.236,1.843,1.739,0.8704000000000001,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q128614,Diefenbaker,20,1957,1963,2.3249999999999997,0.0,1.3,2.236,1.843,1.7390000000000003,0.8742857142857143,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q128604,Pearson,20,1963,1968,2.3249999999999997,0.0,1.3,2.236,1.843,1.739,0.8863333333333334,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q8619,Pierre Trudeau,20,1968,1979,2.806666666666666,0.0,1.7589999999999997,1.8665000000000003,1.823666666666667,1.739,0.8780833333333332,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q128574,Clark,20,1979,1980,2.903,0.0,1.912,1.497,1.841,1.739,0.8795,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Q8619,Pierre Trudeau,20,1980,1984,2.903,0.0,1.9119999999999997,1.497,1.9131999999999998,1.739,0.8772,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Q128568,Turner,20,1984,1984,2.903,0.0,1.912,1.497,2.202,1.739,0.875,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
Q128563,Mulroney,20,1984,1993,2.9029999999999996,0.0,1.9094000000000002,1.497,2.2019999999999995,1.739,0.875,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
Q128553,Kim Campbell,20,1993,1993,2.903,0.0,2.112,1.497,2.202,1.739,0.875,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
Q3099714,Justin Trudeau,20,2015,2015,3.119,0.0,1.966,1.497,1.755,1.659,0.904,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Q317664,Ingraham,31,1992,2002,,,,,,,,,,,,,,,,
Q11270,Batista,40,1952,1959,-0.22275,0.421875,-0.919125,0.14325,-0.15962500000000002,-1.767875,0.315625,0.875,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
