qid,leader,ccode,start_year,end_year,monuments_count,monuments_binary,monuments_details,holiday_count,holiday_binary,holiday_details,hagiography_count,hagiography_binary,hagiography_details,media_named_count,media_named_binary,media_named_details
Q11613,Truman,2,1945,1953,1,1,Harry S. Truman National Historic Site,0,0,,0,0,,0,0,
Q9916,Eisenhower,2,1953,1961,2,1,Q83190609; Q13102762,0,0,,134,1,Executive Order 10995; Executive Order 10942; Executive Order 10448; Executive Order 10585; Executive Order 11030; Executive Order 10865; Executive Order 10869; Executive Order 10977; Executive Order 10670; Executive Order 10964; Executive Order 10668; Executive Order 10719; Executive Order 10901; Executive Order 10669; Executive Order 10463; Executive Order 10444; Executive Order 11000; Executive Order 11037; Executive Order 11045; Executive Order 10998; Executive Order 10438; Executive Order 1,0,0,
Q9696,Kennedy,2,1961,1963,2,1,Yad Kennedy; Kennedy Piece,0,0,,13,1,Executive Order 10995; Executive Order 11104; Profiles in Courage; Executive Order 10924; Executive Order 11006; Proclamation 3413; Executive Order 10988; Ich bin ein Berliner; Executive Order 11063; A Nation of Immigrants; Executive Order 10925; Proclamation 3525; Executive Order 11110,0,0,
Q9640,Johnson,2,1963,1969,2,1,LBJ Statue; Lyndon B. Johnson State Park and Historic Site,0,0,,33,1,Executive Order 11382; Executive Order 11446; Executive Order 11403; Executive Order 11246; Executive Order 11405; Executive Order 11287; Executive Order 11298; Executive Order 11281; Executive Order 11404; Proclamation 3792; Executive Order 11265; Executive Order 11354; Executive Order 11245; Executive Order 11139; Executive Order 11310; Executive Order 11183; Executive Order 11244; Executive Order 11130; Executive Order 11216; Proclamation 3561; Executive Order 11430; Executive Order 11129; Ex,0,0,
Q9588,Nixon,2,1969,1974,0,0,,0,0,,43,1,Letter to Elvis Presley; Executive Order 11628; Executive Order 11617; Executive Order 11599; Richard Nixon's resignation letter; Executive Order 11478; Executive Order 11603; Executive Order 11601; Executive Order 11502; Six Crises; Executive Order 11649; Executive Order 11476; Executive Order 11785; Executive Order 11580; Executive Order 11734; Executive Order 11544; Executive Order 11490; Proclamation 3948; Nixon's letter of resignation; Executive Order 11517; Executive Order 11793; Executive,0,0,
Q9582,Ford,2,1974,1977,0,0,,0,0,,16,1,"Executive Order 11884; Executive Order 11825; Executive Order 11916; Proclamation 4417; Executive Order 11957; Executive Order 11802; Executive Order 11905; Executive Order 11858; Presidential Proclamation 4311 of September 8, 1974, by President Gerald R. Ford granting a pardon to Richard M. Nixon. (NAID 299996); Executive Order 11921; Executive Order 11940; Executive Order 11850; Executive Order 11835; Executive Order 11926; Executive Order 11965; Executive Order 11904",0,0,
Q9960,Reagan,2,1981,1989,0,0,,0,0,,416,1,Executive Order 12454; Executive Order 12497; Proclamation 4871; Executive Order 12653; Executive Order 12424; Executive Order 12650; Proclamation 5253; Executive Order 12565; Executive Order 12598; Executive Order 12652; Executive Order 12330; Executive Order 12438; Executive Order 12327; Executive Order 12309; Executive Order 12579; Proclamation 5794; Executive Order 12318; Executive Order 12381; Executive Order 12537; Executive Order 12617; Proclamation 5087; Executive Order 12482; Executive ,0,0,
Q23505,G.H.W. Bush,2,1989,1993,0,0,,0,0,,0,0,,0,0,
Q1124,Clinton,2,1993,2001,0,0,,0,0,,242,1,Executive Order 12847; Proclamation 7156; Executive Order 12866; Executive Order 12859; Executive Order 13087; Executive Order 12945; Executive Order 12835; Executive Order 12920; Executive Order 13026; Executive Order 13110; Proclamation 7251; Executive Order 12872; Executive Order 12893; Proclamation 6533; Executive Order 12865; Executive Order 12861; Executive Order 12894; Executive Order 12986; Executive Order 12913; Proclamation 7069; Executive Order 12869; Executive Order 12949; Executive ,0,0,
Q207,G.W. Bush,2,2001,2009,0,0,,0,0,,390,1,Executive Order 13221; Executive Order 13271; Executive Order 13366; Executive Order 13306; Executive Order 13387; Executive Order 13377; Executive Order 13229; Proclamation 7484; Proclamation 7984; Executive Order 13330; Executive Order 13336; Proclamation 7517; Executive Order 13212; Executive Order 13407; Executive Order 13378; Executive Order 13302; Executive Order 13479; Executive Order 13278; Executive Order 13406; Proclamation 7829; Proclamation 7511; Proclamation 7576; Proclamation 8087;,0,0,
Q128626,St. Laurent,20,1948,1957,0,0,,0,0,,0,0,,0,0,
Q128614,Diefenbaker,20,1957,1963,0,0,,0,0,,0,0,,0,0,
Q128604,Pearson,20,1963,1968,0,0,,0,0,,0,0,,0,0,
Q8619,Pierre Trudeau,20,1968,1979,0,0,,0,0,,1,0,Just watch me,0,0,
Q128574,Clark,20,1979,1980,0,0,,0,0,,0,0,,0,0,
Q8619,Pierre Trudeau,20,1980,1984,0,0,,0,0,,1,0,Just watch me,0,0,
Q128568,Turner,20,1984,1984,0,0,,0,0,,0,0,,0,0,
Q128563,Mulroney,20,1984,1993,0,0,,0,0,,1,0,Memoirs: 1939–1993,0,0,
Q128553,Kim Campbell,20,1993,1993,0,0,,0,0,,1,0,Time and Chance,0,0,
Q3099714,Justin Trudeau,20,2015,2015,0,0,,0,0,,1,0,Common Ground,0,0,
Q317664,Ingraham,31,1992,2002,0,0,,0,0,,0,0,,0,0,
Q11270,Batista,40,1952,1959,0,0,,0,0,,0,0,,0,0,
Q707178,Magloire,41,1950,1956,0,0,,0,0,,0,0,,0,0,
Q888818,Fignole,41,1957,1957,0,0,,0,0,,0,0,,0,0,
Q605467,Kebreau,41,1957,1957,0,0,,0,0,,0,0,,0,0,
Q470500,Namphy,41,1986,1988,0,0,,0,0,,0,0,,0,0,
Q470492,Manigat,41,1988,1988,0,0,,0,0,,2,1,Q128427265; Q128418827,0,0,
Q470500,Namphy,41,1988,1988,0,0,,0,0,,0,0,,0,0,
Q382423,Cedras,41,1991,1994,0,0,,0,0,,0,0,,0,0,
Q323218,Boniface Alexandre,41,2004,2006,0,0,,0,0,,0,0,,0,0,
Q57512,Martelly,41,2011,2014,0,0,,0,0,,0,0,,0,0,
Q887593,Filiberto Bonnelly,42,1962,1963,0,0,,0,0,,0,0,,0,0,
Q3187589,Bosch,42,1963,1963,0,0,,0,0,,0,0,,0,0,
Q436484,Molina Urena,42,1965,1965,0,0,,0,0,,0,0,,0,0,
Q5972763,Majluta Azar,42,1982,1982,0,0,,0,0,,0,0,,0,0,
Q562002,Blanco,42,1982,1986,0,0,,0,0,,0,0,,0,0,
Q151944,Fernandez Reyna,42,1996,2000,0,0,,0,0,,0,0,,0,0,
Q151944,Fernandez Reyna,42,2004,2012,0,0,,0,0,,0,0,,0,0,
Q1240351,Sangster,51,1967,1967,0,0,,0,0,,0,0,,0,0,
