qid,leader,iso3,country_name,start_year,end_year,entry,exit,family_in_govt_count,family_in_govt_binary,family_in_govt_details,places_named_count,places_named_binary,places_named_details,grandiose_titles_count,grandiose_titles_binary,grandiose_titles_details
Q11613,Truman,USA,USA,1945,1953,Regular,Regular,1,0,Bess Truman (spouse): Second Lady or Gentleman of the United States; Bess Truman (spouse): First Lady of the United States,28,1,Truman Doctrine; Harry S. Truman Presidential Library and Museum; USS Harry S. Truman; Truma; Harry S. Truman Federal Building; Truman Committee; Harry S. Truman High School; Harry S. Truman High School; Harry S. Truman Memorial Veterans' Hospital; Harry S. Truman National Historic Site; Truman College; Truman State University; Harry S. Truman Bridge; Harry S. Truman Historic District; Harry S. Truman High School; Harry S. Truman Scholarship; Harry S Truman State Park; H.S. Trumanstraat; White House Reconstruction; Truman-Reagan Medal of Freedom,0,0,
Q9916,Eisenhower,USA,USA,1953,1961,Regular,Regular,4,1,John Eisenhower (child): ambassador; Mamie Eisenhower (spouse): First Lady of the United States; Milton Stover Eisenhower (sibling): director; Milton Stover Eisenhower (sibling): President of Kansas State University; Earl D. Eisenhower (sibling): member of the Illinois House of Representatives,79,1,"Mount Eisenhower; USS Dwight D. Eisenhower; Eisenhower Doctrine; Eisenhower dollar; Eisenhower Executive Office Building; Fort Gordon; Avenue Général Eisenhower - Generaal Eisenhowerlaan; Dwight D. Eisenhower Presidential Library, Museum and Boyhood Home; Azadi Avenue; Dwight D. Eisenhower High School; Eisenhower Fellowships; Eisenhower High School; Eisenhower High School; Eisenhower High School; Eisenhower High School; Eisenhower High School; Eisenhower High School; Eisenhower High School; Eisenhower Middle/High School; Eisenhower Middle School",1,1,Ike
Q9696,Kennedy,USA,USA,1961,1963,Regular,Irregular,6,1,Caroline Kennedy (child): United States Ambassador to Australia; Caroline Kennedy (child): United States Ambassador to Japan; Jacqueline Kennedy Onassis (spouse): First Lady of the United States; Robert F. Kennedy (sibling): United States Attorney General; Robert F. Kennedy (sibling): United States senator; Ted Kennedy (sibling): district attorney; Ted Kennedy (sibling): United States senator; Jean Kennedy Smith (sibling): United States Ambassador to Ireland; Joseph P. Kennedy Sr. (parent): ambassador; Joseph P. Kennedy Sr. (parent): Member of the United States Securities and Exchange Commission,205,1,John F. Kennedy International Airport; Kennedy Space Center; John F. Kennedy School of Government; Profile in Courage Award; John F. Kennedy; Kennedy Bridge; USS John F. Kennedy; John F. Kennedy Special Warfare Center and School; Kennedybrug (Maastricht); JFK; Kennedy Expressway; Kennedy Bridge; Kennedytunnel; John F. Kennedy Center for the Performing Arts; Yad Kennedy; John F. Kennedy Arboretum; John F. Kennedy bridge; Kennedy Center Honors; Kennedyallee; Kennedybrücke,1,1,Jack
Q9640,Johnson,USA,USA,1963,1969,Regular,Regular,3,1,Lynda Bird Johnson Robb (child): First Lady of Virginia; Lady Bird Johnson (spouse): Second Lady or Gentleman of the United States; Lady Bird Johnson (spouse): First Lady of the United States; Samuel Ealy Johnson Jr. (parent): member of the Texas House of Representatives,23,1,Lyndon B. Johnson Space Center; Lyndon B. Johnson National Historical Park; Johnson Doctrine; Lake Lyndon B. Johnson; Lyndon Baines Johnson Library and Museum; LBJ Ranch; Interstate 635; USS Lyndon B. Johnson; Kampung LBJ; Lyndon B. Johnson High School; Lyndon B. Johnson High School; Lyndon B. Johnson High School; Lyndon B. Johnson State Park and Historic Site; Lyndon B. Johnson National Grassland; Lyndon B. Johnson School of Public Affairs; Johnson desk; Lyndon Baines Johnson Foundation; Lyndon Baines Johnson Building; Lyndon B. Johnson Boyhood Home; LBJ Statue,1,1,LBJ
Q9588,Nixon,USA,USA,1969,1974,Regular,Regular,1,0,Pat Nixon (spouse): Second Lady or Gentleman of the United States; Pat Nixon (spouse): First Lady of the United States,5,1,Richard Nixon mask; Milhouse Van Houten; Richard Nixon Presidential Library and Museum; Birthplace of Richard Nixon; Richard Nixon Foundation,1,1,Dick Nixon
Q9582,Ford,USA,USA,1974,1977,Regular,Regular,2,1,Betty Ford (spouse): Second Lady or Gentleman of the United States; Betty Ford (spouse): First Lady of the United States; Thomas Gardner Ford (sibling): member of the Michigan House of Representatives,6,1,Gerald J. Ford Stadium; USS Gerald R. Ford; Gerald R. Ford International Airport; Gerald R. Ford School of Public Policy; Ford House Office Building; NCAA Gerald R. Ford Award,0,0,
Q9960,Reagan,USA,USA,1981,1989,Regular,Regular,1,0,Nancy Reagan (spouse): First Lady of the United States; Nancy Reagan (spouse): First Lady or Partner of California,27,1,USS Ronald Reagan; Reaganomics; Ronald Reagan Washington National Airport; Ronald Reagan Building and International Trade Center; Ronald Reagan Presidential Library; Ronald Reagan Ballistic Missile Defense Test Site; Ronald Reagan Freedom Award; UCLA Ronald Reagan Medical Center; Birthplace of Ronald Reagan; Mount Clay; Reagan Elementary School; Ronald Reagan High School; Ronald W. Reagan High School; Ronald W. Reagan/Doral High School; Ronald Wilson Reagan College Preparatory High School; Ronald Reagan Park; Ronald Reagan Street; Ronald Reagan Cross County Highway; Heterospilus reagani; Truman-Reagan Medal of Freedom,3,1,Dutch; The Great Communicator; The Gipper
Q1124,Clinton,USA,USA,1993,2001,Regular,Regular,1,0,Hillary Clinton (spouse): United States Secretary of State; Hillary Clinton (spouse): chairperson; Hillary Clinton (spouse): intern; Hillary Clinton (spouse): board member; Hillary Clinton (spouse): United States senator; Hillary Clinton (spouse): research assistant; Hillary Clinton (spouse): partner; Hillary Clinton (spouse): First Lady of the United States; Hillary Clinton (spouse): First ladies and gentlemen of Arkansas,10,1,Clinton School of Public Service; Specially Designated Nationals and Blocked Persons List; William Jefferson Clinton Federal Building; Clinton Bush Haiti Fund; Clinton Plaza; Clintonism; Etheostoma clinton; Tapinothrix clintonii; Arianops clintoni; USS William J. Clinton,2,1,Slick Willie; The Comeback Kid
Q207,G.W. Bush,USA,USA,2001,2009,Regular,Regular,4,1,Laura Bush (spouse): First Lady of the United States; Jeb Bush (sibling): presidential candidate; Jeb Bush (sibling): Governor of Florida; George H. W. Bush (parent): President of the United States; George H. W. Bush (parent): Vice President of the United States; George H. W. Bush (parent): Director of Central Intelligence; George H. W. Bush (parent): President-elect of the United States; George H. W. Bush (parent): United States Ambassador to the United Nations; George H. W. Bush (parent): United States Ambassador to China; George H. W. Bush (parent): member of the United States House of Representatives,7,1,George Walker Bush Highway; Agathidium bushi; Bushism; Bush Doctrine; George W. Bush Presidential Center; Clinton Bush Haiti Fund; USS George W. Bush,0,0,
Q128626,St. Laurent,CAN,CAN,1948,1957,Regular,Regular,2,1,Jean-Paul St. Laurent (child): member of the House of Commons of Canada; Jeanne St. Laurent (spouse): Spouse of the Prime Minister of Canada,3,1,CCGS Louis S. St-Laurent; Louis S. St. Laurent National Historic Site; Mount Louis Saint Laurent,2,1,King's Counsel; Monsieur le bâtonnier
Q128614,Diefenbaker,CAN,CAN,1957,1963,Regular,Regular,1,0,Olive Diefenbaker (spouse): Spouse of the Prime Minister of Canada,5,1,Lake Diefenbaker; Saskatoon John G. Diefenbaker International Airport; CCGS John G. Diefenbaker; Q6748903; John Diefenbaker Senior School,0,0,
Q128604,Pearson,CAN,CAN,1963,1968,Regular,Regular,2,1,Geoffrey Pearson (child): ambassador; Maryon Pearson (spouse): Spouse of the Prime Minister of Canada,9,1,Toronto Pearson International Airport; Pearson Medal of Peace; Lester B. Pearson Collegiate Institute; Lester B. Pearson High School; Mount Lester Pearson; Lester B. Pearson Catholic High School; L.B. Pearsonstraat; Pearsonlaan; Lester B. Pearson Award,1,1,Mike
Q8619,Pierre Trudeau,CAN,CAN,1968,1979,Regular,Regular,2,1,Justin Trudeau (child): Prime Minister of Canada; Justin Trudeau (child): Leader of the Liberal Party of Canada; Justin Trudeau (child): member of the House of Commons of Canada; Justin Trudeau (child): Minister of Intergovernmental Affairs; Margaret Trudeau (spouse): Spouse of the Prime Minister of Canada,6,1,Montréal–Trudeau International Airport; Mount Pierre Elliott Trudeau; Pierre Elliott Trudeau High School; Trudeauism; Parc Pierre-Elliott-Trudeau; Parc Pierre Elliott Trudeau,0,0,
Q128574,Clark,CAN,CAN,1979,1980,Regular,Regular,1,0,Maureen McTeer (spouse): Spouse of the Prime Minister of Canada,0,0,,2,1,Joe; King's Privy Council for Canada
Q8619,Pierre Trudeau,CAN,CAN,1980,1984,Regular,Regular,2,1,Justin Trudeau (child): Prime Minister of Canada; Justin Trudeau (child): Leader of the Liberal Party of Canada; Justin Trudeau (child): member of the House of Commons of Canada; Justin Trudeau (child): Minister of Intergovernmental Affairs; Margaret Trudeau (spouse): Spouse of the Prime Minister of Canada,6,1,Montréal–Trudeau International Airport; Mount Pierre Elliott Trudeau; Pierre Elliott Trudeau High School; Trudeauism; Parc Pierre-Elliott-Trudeau; Parc Pierre Elliott Trudeau,0,0,
Q128568,Turner,CAN,CAN,1984,1984,Regular,Regular,1,0,Geills Turner (spouse): Spouse of the Prime Minister of Canada,0,0,,1,1,The Right Honourable
Q128563,Mulroney,CAN,CAN,1984,1993,Regular,Regular,2,1,Caroline Mulroney (child): member of the Ontario Provincial Parliament; Caroline Mulroney (child): Attorney General of Ontario; Caroline Mulroney (child): transport minister; Caroline Mulroney (child): justice minister; Mila Mulroney (spouse): Spouse of the Prime Minister of Canada,0,0,,1,1,The Right Honourable
Q317664,Ingraham,BHS,BHM,1992,2002,Regular,Regular,0,0,,0,0,,0,0,
Q11270,Batista,CUB,CUB,1952,1959,Irregular,Irregular,0,0,,0,0,,0,0,
Q707178,Magloire,HTI,HAI,1950,1956,Regular,Irregular,0,0,,0,0,,0,0,
Q470500,Namphy,HTI,HAI,1986,1988,Irregular,Regular,0,0,,0,0,,0,0,
Q470492,Manigat,HTI,HAI,1988,1988,Regular,Irregular,0,0,,0,0,,0,0,
Q470500,Namphy,HTI,HAI,1988,1988,Irregular,Irregular,0,0,,0,0,,0,0,
Q887593,Filiberto Bonnelly,DOM,DOM,1962,1963,Regular,Regular,0,0,,0,0,,0,0,
Q3187589,Bosch,DOM,DOM,1963,1963,Regular,Irregular,0,0,,0,0,,0,0,
Q562002,Blanco,DOM,DOM,1982,1986,Regular,Regular,1,0,Orlando Jorge Mera (child): environment minister,0,0,,0,0,
Q1240351,Sangster,JAM,JAM,1967,1967,Regular,Natural Death,0,0,,1,0,Sangster International Airport,0,0,
Q982324,Shearer,JAM,JAM,1967,1972,Regular,Regular,0,0,,0,0,,0,0,
Q365395,Manley,JAM,JAM,1972,1980,Regular,Regular,2,1,Douglas Manley (sibling): Member of the House of Representatives of Jamaica; Norman Manley (parent): Premier of Jamaica,0,0,,0,0,
Q365395,Manley,JAM,JAM,1989,1992,Regular,Retired Due to Ill Health,2,1,Douglas Manley (sibling): Member of the House of Representatives of Jamaica; Norman Manley (parent): Premier of Jamaica,0,0,,0,0,
Q1338879,Williams,TTO,TRI,1962,1981,Regular,Natural Death,0,0,,1,0,Ragatz–Williams decline theory,1,1,Trinity Cross
Q634551,Robinson,TTO,TRI,1986,1991,Regular,Regular,1,0,Patricia Robinson (spouse): First Lady of Trinidad and Tobago,1,0,A. N. R. Robinson International Airport,0,0,
Q365206,Manning,TTO,TRI,1991,1995,Regular,Regular,1,0,Hazel Manning (spouse): Member of the Senate of Trinidad and Tobago,0,0,,0,0,
Q1361644,Barrow,BRB,BAR,1966,1976,Regular,Regular,1,0,Nita Barrow (sibling): Governor-General of Barbados,0,0,,0,0,
Q1371769,St. John,BRB,BAR,1985,1986,Regular,Regular,0,0,,0,0,,0,0,
Q1361644,Barrow,BRB,BAR,1986,1987,Regular,Natural Death,1,0,Nita Barrow (sibling): Governor-General of Barbados,0,0,,0,0,
Q114622,Sandiford,BRB,BAR,1987,1994,Regular,Regular,0,0,,0,0,,1,1,Knight Bachelor
Q327920,Ruiz Cortines,MEX,MEX,1952,1958,Regular,Regular,0,0,,0,0,,0,0,
Q296691,de La Madrid,MEX,MEX,1982,1988,Regular,Regular,1,0,Enrique de la Madrid (child): Member of the Chamber of Deputies of Mexico; Enrique de la Madrid (child): Secretary of Tourism,0,0,,0,0,
Q315633,Salinas,MEX,MEX,1988,1994,Regular,Regular,1,0,Raúl Salinas (parent): National Action Party; Raúl Salinas (parent): member of the Senate of Mexico,0,0,,0,0,
Q298149,Zedillo,MEX,MEX,1994,2000,Regular,Regular,0,0,,0,0,,0,0,
Q542559,Price,BLZ,BLZ,1961,1984,Regular,Regular,1,0,Jane Ellen Usher (sibling): President of the Senate of Belize; Jane Ellen Usher (sibling): Member of the House of Representatives of Belize; Jane Ellen Usher (sibling): Minister of Health,2,1,George Price Highway; Price Barracks,0,0,
Q951969,Esquivel,BLZ,BLZ,1984,1989,Regular,Regular,0,0,,0,0,,0,0,
Q542559,Price,BLZ,BLZ,1989,1993,Regular,Regular,1,0,Jane Ellen Usher (sibling): President of the Senate of Belize; Jane Ellen Usher (sibling): Member of the House of Representatives of Belize; Jane Ellen Usher (sibling): Minister of Health,2,1,George Price Highway; Price Barracks,0,0,
Q951969,Esquivel,BLZ,BLZ,1993,1998,Regular,Regular,0,0,,0,0,,0,0,
Q335215,Musa,BLZ,BLZ,1998,2008,Regular,Regular,2,1,"Kareem Musa (child): Member of the House of Representatives of Belize; Kareem Musa (child): Minister of Home Affairs; Henry Charles Usher (child): Member of the House of Representatives of Belize; Henry Charles Usher (child): Minister of Public Service, Constitutional & Political Reform",0,0,,0,0,
Q887617,Cerezo,GTM,GUA,1986,1991,Regular,Regular,0,0,,0,0,,0,0,
Q880056,Castro,HND,HON,1975,1978,Irregular,Irregular,1,0,Nora Gúnera de Melgar (spouse): Member of the Honduran Congress,0,0,,0,0,
Q879219,Reina,HND,HON,1994,1998,Regular,Regular,0,0,,0,0,,0,0,
Q441393,Ricardo Maduro,HND,HON,2002,2006,Regular,Regular,1,0,Aguas Santas Ocaña Navarro (spouse): First Lady of Honduras,0,0,,0,0,
Q218443,Anastasio Somoza Debayle,NIC,NIC,1967,1979,Regular,Irregular,2,1,Luis Somoza Debayle (sibling): President of Nicaragua; Anastasio Somoza García (parent): President of Nicaragua,0,0,,0,0,
Q57402,Daniel Ortega,NIC,NIC,1979,1990,Irregular,Regular,2,1,Zoilamérica Ortega Murillo (child): Member of the National Assembly of Nicaragua; Rosario Murillo (spouse): President of Nicaragua; Rosario Murillo (spouse): Vice President of Nicaragua; Rosario Murillo (spouse): Member of the National Assembly of Nicaragua,0,0,,0,0,
Q114142,Violeta Chamorro,NIC,NIC,1990,1997,Regular,Regular,0,0,,0,0,,0,0,
Q887589,Orlich,CRI,COS,1962,1966,Regular,Regular,1,0,Q106072112 (spouse): First Lady or First Gentleman of Costa Rica,0,0,,0,0,
Q318298,Carazo Odio,CRI,COS,1978,1982,Regular,Regular,1,0,Estrella Zeledón Lizano (spouse): First Lady or First Gentleman of Costa Rica,0,0,,0,0,
Q231946,Mireya Moscoso,PAN,PAN,1999,2004,Regular,Regular,1,0,Arnulfo Arias (spouse): President of Panama; Arnulfo Arias (spouse): ambassador of Panama to the United Kingdom,0,0,,0,0,
Q12002,Lleras Camargo,COL,COL,1945,1946,Regular,Regular,2,1,Consuelo Lleras (child): member of the Chamber of Representatives of Colombia; Bertha Puga (spouse): First Lady of Colombia,1,0,Alberto Lleras Camargo Airport,0,0,
Q455692,Rojas Pinillia,COL,COL,1953,1957,Irregular,Irregular,1,0,María Eugenia Rojas Correa (child): member of the Senate of Colombia,2,1,Gustavo Rojas Pinilla International Airport; Gustavo Rojas Pinilla de Tunja Airport,0,0,
Q12002,Lleras Camargo,COL,COL,1958,1962,Regular,Regular,2,1,Consuelo Lleras (child): member of the Chamber of Representatives of Colombia; Bertha Puga (spouse): First Lady of Colombia,1,0,Alberto Lleras Camargo Airport,0,0,
Q540230,Lleras Restropo,COL,COL,1966,1970,Regular,Regular,1,0,Carlos Lleras de la Fuente (child): ambassador of Colombia to the United States,0,0,,0,0,
Q728833,Pastrana Borrero,COL,COL,1970,1974,Regular,Regular,2,1,Andrés Pastrana Arango (child): President of Colombia; Andrés Pastrana Arango (child): Secretary General of the Non-Aligned Movement; Andrés Pastrana Arango (child): Mayor of Bogota; Andrés Pastrana Arango (child): ambassador of Colombia to the United States; Andrés Pastrana Arango (child): councillor of Bogotá; María Cristina Arango Vega (spouse): First Lady of Colombia,0,0,,0,0,
Q540192,Vargas,COL,COL,1986,1990,Regular,Regular,2,1,Carolina Barco (child): Minister of Foreign Affairs of Colombia; Carolina Barco (child): ambassador of Colombia to the United States; Carolina Isakson Proctor (spouse): First Lady of Colombia,0,0,,0,0,
